# HJD    Flux    Flux_err
7082.50056713    0.99195    0.00818
7082.50087963    1.00805    0.00841
7082.50119213    1.00331    0.00854
7082.50212963    0.99727    0.00995
7082.50275463    0.99966    0.00864
7082.50337963    0.99660    0.00829
7082.50370370    1.00264    0.00806
7082.50401620    0.99886    0.00814
7082.50432870    0.99340    0.00811
7082.50464120    0.99688    0.00846
7082.50495370    0.99999    0.00821
7082.50526620    1.00353    0.00821
7082.50557870    1.00506    0.00794
7082.50589120    1.00599    0.00783
7082.50620370    1.00355    0.00810
7082.50651620    0.99766    0.01102
7082.50682870    0.99212    0.00799
7082.50714120    0.99418    0.00825
7082.50745370    1.00411    0.00820
7082.50776620    1.00258    0.00799
7082.50807870    1.03967    0.02166
7082.50840278    1.00175    0.00803
7082.50871528    1.00171    0.00791
7082.50902778    0.99654    0.00804
7082.50934028    0.99781    0.00815
7082.50965278    0.99937    0.00812
7082.50996528    1.00550    0.00779
7082.51027778    1.00331    0.00779
7082.51059028    1.00175    0.00788
7082.51090278    0.99329    0.00788
7082.51121528    0.99720    0.00813
7082.51152778    1.00126    0.00786
7082.51184028    0.99459    0.00825
7082.51215278    0.99804    0.00783
7082.51246528    0.99981    0.00802
7082.51277778    0.99289    0.00847
7082.51310185    0.99495    0.00845
7082.51341435    0.99437    0.00791
7082.51372685    0.99747    0.00797
7082.51403935    0.99638    0.00788
7082.51435185    0.99581    0.00790
7082.51466435    1.00032    0.00780
7082.51497685    1.00046    0.00779
7082.51528935    0.99565    0.00802
7082.51560185    1.00504    0.00782
7082.51591435    0.99955    0.00784
7082.51622685    0.99399    0.00792
7082.51653935    0.99714    0.00784
7082.51685185    0.99859    0.00784
7082.51716435    1.00246    0.00773
7082.51747685    0.99748    0.00778
7082.51778935    0.99844    0.00778
7082.51811343    1.00586    0.00809
7082.51842593    0.99304    0.00787
7082.51873843    0.99982    0.00777
7082.51905093    1.00852    0.00770
7082.51936343    0.99966    0.00779
7082.51967593    1.00038    0.00784
7082.51998843    1.00351    0.00771
7082.52030093    0.99620    0.00780
7082.52061343    0.99218    0.00806
7082.52092593    0.99467    0.00791
7082.52109954    1.00541    0.00791
7082.52141204    0.99575    0.00792
7082.52172454    1.00084    0.00783
7082.52203704    1.00265    0.00781
7082.52234954    0.99396    0.00788
7082.52266204    1.00623    0.00789
7082.52297454    0.99476    0.00794
7082.52328704    0.99373    0.00789
7082.52359954    0.99735    0.00794
7082.52391204    0.99861    0.00780
7082.52422454    0.99727    0.00791
7082.52453704    0.99817    0.00787
7082.52548611    1.00903    0.00778
7082.52579861    1.00772    0.00943
7082.52642361    1.00105    0.00791
7082.52673611    1.00959    0.00837
7082.52704861    1.00477    0.00778
7082.52736111    1.00312    0.00777
7082.52767361    1.00273    0.00795
7082.52798611    0.99596    0.00803
7082.52829861    1.01281    0.00763
7082.52861111    0.99745    0.00797
7082.52892361    1.00007    0.00778
7082.52923611    0.99638    0.00782
7082.52954861    0.99791    0.00780
7082.52986111    1.00076    0.00788
7082.53018519    0.99553    0.00787
7082.53049769    0.99657    0.00796
7082.53081019    1.00052    0.00793
7082.53112269    0.99502    0.00782
7082.53143519    1.00274    0.00771
7082.53174769    0.99685    0.00779
7082.53206018    1.00729    0.00768
7082.53237269    1.00556    0.00773
7082.53268519    1.00383    0.00772
7082.53299769    1.00369    0.00791
7082.53362269    0.99921    0.00779
7082.53393519    1.00624    0.00771
7082.53424769    0.99985    0.00788
7082.53456019    1.00043    0.00830
7082.53488426    0.99074    0.00781
7082.53519676    0.99788    0.00769
7082.53550926    1.00897    0.00761
7082.53582176    0.98759    0.00787
7082.53613426    1.00024    0.00776
7082.53644676    0.99848    0.00774
7082.53707176    1.00962    0.00761
7082.53738426    1.00851    0.00766
7082.53769676    0.99994    0.00777
7082.53800926    1.00239    0.00769
7082.53832176    0.99921    0.00771
7082.53863426    0.99290    0.00776
7082.53894676    1.00584    0.00778
7082.53925926    0.99431    0.00776
7082.53989583    1.00669    0.00778
7082.54020833    1.00779    0.00770
7082.54052083    0.99352    0.00775
